id,name,region_id,description,image_url
14,Minor Erdtree (mistwood),1,Easily distiguished from the rest of the trees in Mistwood Forest.,https://eldenring.fanapis.com/images/locations/17f69c40d99l0i2m8n9bf756iumzy9.png
15,Highroad Cave,1,"A cave that houses a tomb, deep within. It is situated at the northmost part of Limgrave. It has been inhabited by a pack of Wolves, Land Octopuses, and Giant Bats",https://eldenring.fanapis.com/images/locations/17f699b601fl0i2m8statevuowxrrb.png
16,Mistwood,1,"Mistwood is a Location in Elden Ring. The Mistwood region is located in the Eastern part of Limgrave. Tiered terrain, small beaches, and luscious forests occupied by Lesser Runebears are the defining features of this region.",https://eldenring.fanapis.com/images/locations/17f69d83e6bl0i2m8v6af0i4h94ltb.png
17,Mistwood Ruins,1,"Concealed by the thriving growth of vegetation, these ruins are kept out of sight by the veil of nature itself. But there's more to it than what you see",https://eldenring.fanapis.com/images/locations/17f69a3ca6bl0i2m99b111ivu2aamcc.png
18,Murkwater Catacombs,1,"An underground cemetery that is located at the north-east side of Agheel Lake in Limgrave. Once a place for peaceful rest for fallen heroes, it is now infested by goblins.",https://eldenring.fanapis.com/images/locations/17f69dedf7al0i2m9b4pz1v8jipl5.png
19,Murkwater Cave,1,A dark cave halfway through the Murkwater River,https://eldenring.fanapis.com/images/locations/17f69e79661l0i2m9c3uzzwon60ru.png
20,Siofra River Well,1,"A mystical underground region filled with its own set of skies and stars. Beware, it is teeming with creatures big and small alike",https://eldenring.fanapis.com/images/locations/17f69f08b12l0i2m9h4uay98lftdb.png
21,Smoldering Church,2,The Last Church in Limgrave before reaching Caelid,https://eldenring.fanapis.com/images/locations/17f69f46160l0i2m9j5wvl4iyb5vv.png
22,Stormgate,1,The Stormgate is a heavily guarded area that marks the border within Limgrave and Stormhill. Only the foolhardy would rush such against such odds,https://eldenring.fanapis.com/images/locations/17f69755f06l0i2m9ygrrte15vxjjn.png
23,Stormfoot Catacombs,1,"Stormfoot Catacombs were meant as a restful place for the deceased, but its now overrun by Goblins. Its deepest secrets are secured by the Guardian of the Burial Tree",https://eldenring.fanapis.com/images/locations/17f69c93d09l0i2m9yixlupxvwoc7r.png
24,Stormhill,1,"Stormhill is a Location in Elden Ring. Stormhill is the upper half area of Limgrave, between its central river and Stormveil.",https://eldenring.fanapis.com/images/locations/17f69a317f4l0i2m9zw0s2ceqss32f.png
25,Stormhill Evergaol,1,The Brave and Foolish alike dare venture into the Stormhill Evergaol and face its relentless knight in battle,https://eldenring.fanapis.com/images/locations/17f6973afc2l0i2ma51e7fflgwsv2m.png
26,Stormhill Shack,1,The Stormhill Shack is a dilapidated shelter formerly used to house hunters in the area. A Site of Grace offers a needed moment of rest for those traveling nearby,https://eldenring.fanapis.com/images/locations/17f69ad0772l0i2ma7gusqx8w2s1ao.png
27,Stranded Graveyard,1,Stranded Graveyard is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within,https://eldenring.fanapis.com/images/locations/17f69e77e65l0i2mam30d45d317ze1a.png
28,Summonwater Village,1,"D, Hunter of The Dead, warns you of this nearby village taken over by death, known as Summonwater Village",https://eldenring.fanapis.com/images/locations/17f69c37b1fl0i2manq5puf8m7lj6.png
29,Third Church Of Marika,1,The Ruins of an Old Church found in the Mistwood. The most prominent sight here is a statue of a lady with her arms outstretched,https://eldenring.fanapis.com/images/locations/17f696f8b63l0i2maq3fi94tgr4s4t.png
30,Warmaster's Shack,1,Small shack in a remote area near north-central Stormhill.,https://eldenring.fanapis.com/images/locations/17f69d5a094l0i2mata8cfyj4ci55t.png
31,Waypoint Ruins,1,"Waypoint Ruins consists of a group of broken buildings and abandoned campsites, now overrun with poisonous flowers and their crazed caretaker",https://eldenring.fanapis.com/images/locations/17f69d6cc12l0i2maurcz3u35zq1e6.png
32,Ailing Village,3,"A small, abandoned village nestled within a forested area north of the Castle Morne Rampart. This village is host to long-dilapidated dwellings, inhabited only by hostile Demi-humans.",https://eldenring.fanapis.com/images/locations/17f699556dcl0i2mb8hu2t8gym49k9.png
33,Bridge Of Sacrifice,1,"A busy bridge swarming with iron-clad foes. Be prepared to engage in an array of melee, ranged and artillery attacks or attempt to push past them",https://eldenring.fanapis.com/images/locations/17f69a08d1al0i2mbb18pbuvaqj0nv.png
34,Callu Baptismal Church,3,"A dilapidated church, presumably frequented by the former residents of Ailing Village. Now it lies in ruin, its congregation replaced by a family of mutant vermin feasting on the remains of  unfortunate travelers",https://eldenring.fanapis.com/images/locations/17f6966a9acl0i2mbedz4xx9r4lz4h.png
35,Church Of Pilgrimage,3,The Church of Pilgrimage is a broken building situated at the top of the cliff in the north of the Weeping Peninsula. Even with the walls and roof destroyed pilgrims still make the journey to visit this church,https://eldenring.fanapis.com/images/locations/17f698b669el0i2mbhazm5831nokpp.png
36,Castle Morne,1,"Remants of a chaos swept castle, teeming with iron-clad enemies -now engulfed with fire, piles of remains and ruin.",https://eldenring.fanapis.com/images/locations/17f69a8e6e3l0i2mbkue80sw8q9e9m.png
37,Demi-human Forest Ruins,3,"Demi-Humans congregate here to worship their queen. Defeating her will reward players with the Demi-Human Queen's Staff, which is excellent for beginner mages.",https://eldenring.fanapis.com/images/locations/17f698f0b5cl0i2mbvii8p3ju2s8p.png
38,Earthbore Cave,1,Earthbore Cave is a small dark cave on the side of the Cliffside between Limgrave and Weeping Peninsula. One might be able to hear the squeaks of rats and the snoring of a large beast deep within if you listen closely,https://eldenring.fanapis.com/images/locations/17f69a6e7bal0i2mbxtdxxdlkbn228.png
39,Forest Lookout Tower,3,"A run-down tower built on the edge of the cliffs of the Weeping Peninsula, located west of the Bridge of Sacrifice.",https://eldenring.fanapis.com/images/locations/17f69beb214l0i2mc1tu4e1udh50bg.png
40,Impaler's Catacombs,3,"The Impaler's Catacombs are found in the east side of the Weeping Peninsula. Once used to store the bodies of the dead, it is now crawling with Imps.",https://eldenring.fanapis.com/images/locations/17f69eb484al0i2mc6wcx3of77ezpi.png
41,Fourth Church Of Marika,3,"The ruins of a lonely church, sitting atop a plateau west of the peninsula. Despite its current state, the altar remains intact and ghostly knights still roam the fields nearby, perhaps restless and duty-bound to safeguarding the area...",https://eldenring.fanapis.com/images/locations/17f699e2f56l0i2mcc0rz6jdgrnd4b.png
42,Minor Erdtree (weeping Peninsula),3,One of the large Erdtree's found in the Weeping Peninsula. An Erdtree Avatar charges at those who approach,https://eldenring.fanapis.com/images/locations/17f6967f4a6l0i2mcivef17883vmx4.png
43,Isolated Merchant's Shack,3,"Found at the western edge of the Weeping Peninsula, this lonesome hut is home to but a single person who has long adapted to a life of seclusion",https://eldenring.fanapis.com/images/locations/17f69e439b6l0i2mcjzcnj6kp3he1.png
44,Oridys's Rise,3,"A lone observation tower atop a plateau in the east of the Weeping Peninsula. Long since abandoned, the entrance is barred by a seal, presenting travelers with a small challenge",https://eldenring.fanapis.com/images/locations/17f69ef93ffl0i2mcqpdy7v0jp2w4t.png
45,Morne Tunnel,3,A dark and hidden tunnel that is inhabited by Misbegottens and Miners.,https://eldenring.fanapis.com/images/locations/17f6981a517l0i2mcvl2m9zjgmsg8q.png
46,Tombsward Cave,3,Hidden cave in the forest teeming with poison-filled creatures.,https://eldenring.fanapis.com/images/locations/17f69d80346l0i2md4i5cedghtnq25.png
47,Tombsward Ruins,3,"The ruins of a former burial ground. Next to nothing remains here, yet squires still roam the dark tunnels beneath. Perhaps protecting the graves of their former noble masters..",https://eldenring.fanapis.com/images/locations/17f69f4ffe5l0i2md88ra4eyn71p2h.png
48,Tombsward Catacombs,3,"The Tombsward Catacombs are hidden inside the mountain near the Minor Erdtree in the Weeping Peninsula. Once filled with the bodies of the dead, armed skeletons now rise to chase away those that wish to explore its depths.",https://eldenring.fanapis.com/images/locations/17f69e49901l0i2mdbbaoshgf9r6xb.png
49,Tower Of Return,3,"A dilapidated tower guarded by foot soldiers and mounted cavalry. Makeshift wooden platforms and ladders line the inside of the tower, allowing it to retain some function as a lookout point and a mount for ballistae",https://eldenring.fanapis.com/images/locations/17f69f66bd4l0i2mddees047dl1w3.png
50,Weeping Evergaol,3,An evergaol located on the western landmass of the Weeping Peninsula. A formidable opponent is imprisoned within,https://eldenring.fanapis.com/images/locations/17f698df3ebl0i2mdikdnz45fhyrc7.png
51,Witchbane Ruins,3,"A set of ruins found in western Weeping Peninsula. Overgrown with thick shrubs and poisonous flowers, this decrepit landmark invites only misery and dread.",https://eldenring.fanapis.com/images/locations/17f69aac157l0i2mdq7xv2njkwl739.png
52,Academy Crystal Cave,4,"The depths of the Raya Lucaria Academy are rich in rose-tinted crystals, imbued with the natural magic of the area",https://eldenring.fanapis.com/images/locations/17f69eea151l0i2mdvyoq9hes3awih.png
53,Academy Gate Town,4,The sunken remains of the academy town,https://eldenring.fanapis.com/images/locations/17f69ca396cl0i2mdysgmasljm2zkm.png
54,Ainsel River Well,4,A small structure housing a lift that takes you down to the Ainsel River.,https://eldenring.fanapis.com/images/locations/17f69810cebl0i2mdzlqf85vs5362m.png
55,Artist's Shack,4,A small cabin at North Liurnia of The Lakes. Its strongly perceived tranquility seems overshadowed by oblivion.,https://eldenring.fanapis.com/images/locations/17f69f1bf17l0i2me5lh0rinbjahod.png
56,Bellum Church,4,Located past the ruins and the forested area guarded by Mounted Knights.,https://eldenring.fanapis.com/images/locations/17f69f3a31bl0i2meai1xfwcvclxod.png
57,Bellum Highway,4,Outside the East Raya Lucaria Gate,https://eldenring.fanapis.com/images/locations/17f69c7e27al0i2meh9ln3g7iucc9m.png
58,Black Knife Catacombs,4,"Black Knife Catacombs homes many skeletons and crabs within its depths, find and defeat the Black Knife Assassin within to obtain their dagger.",https://eldenring.fanapis.com/images/locations/17f699441c2l0i2men3bc9smd0h3jp.png
59,Caria Manor,4,A large estate situated far to the north of Liurnia.,https://eldenring.fanapis.com/images/locations/17f696fcc61l0i2mesvptc01pvt2k.png
60,Boilprawn Shack,4,Small cozy shack where Blackguard Big Boggart resides.,https://eldenring.fanapis.com/images/locations/17f69671b3cl0i2meu31aoc55gpu6w.png
61,Carian Study Hall,4,A large library-like location full of spectres,https://eldenring.fanapis.com/images/locations/17f69ebf5c7l0i2mf0jf9uvcbi972.png
62,Chapel Of Anticipation,1,A small starting building with trail leading to an area occupied by a gnarly Grafted Scion,https://eldenring.fanapis.com/images/locations/17f69b84b61l0i2mfc7u9mll6xzntq.png
63,Chelona's Rise,4,A tower overlooking the southern-most tip of Liurnia of the lakes,https://eldenring.fanapis.com/images/locations/17f698ad77al0i2mfezbdn6jgn0o9.png
64,Church Of Inhibition,4,"The remnants of an old church in the north of Liurnia, just before the Altus Plateau.",https://eldenring.fanapis.com/images/locations/17f698e5adfl0i2mffrxjg7ruc39w.png
65,Cathedral Of Manus Celes,4,A large church atop the southern plateau of Liurnia.,https://eldenring.fanapis.com/images/locations/17f69cce4d4l0i2mfhyp49jkapcfro.png
66,Church Of Irith,1,,https://eldenring.fanapis.com/images/locations/17f69eb0b5al0i2mfvs8tpdxql60r.png
67,Church Of Vows,4,"It is here, at the Church of Vows, that the great houses of the Erdtree and the Moon were joined by the matrimonial bond between red-haired Radagon and Rennala of the Full Moon. That is why it holds in view the monuments of both houses, the Erdtree of the Capital and the Academy of Raya Lucaria.",https://eldenring.fanapis.com/images/locations/17f69c9c269l0i2mfxzgqbh7ffwoxe.png
68,Converted Fringe Tower,4,A tower found on the fringe in the northeastern tip of Liurnia.,https://eldenring.fanapis.com/images/locations/17f69da1bd4l0i2mg2rzb8btkku3w.png
69,Converted Tower,4,An abandoned tower,https://eldenring.fanapis.com/images/locations/17f69d1362al0i2mg4cjo2nkqwii0c.png
70,Cuckoo's Evergaol,4,Evergaol located on the western landmass of Liurnia. A powerful force stirs within.,https://eldenring.fanapis.com/images/locations/17f698f564bl0i2mgkgv52gb259rpo.png
71,Deep Ainsel Well,4,A deep well leading to the Moonlight Altar from the underground Grand Cloister.,
72,Divine Tower Of Liurnia,4,Divine Tower of Liurnia is a Location in Elden Ring. The Divine Tower of Liurnia is found in Liurnia of the Lakes and is reached by taking the lift down at the secret area of Carian Study Hall.,https://eldenring.fanapis.com/images/locations/17f69a9bb63l0i2mgrk6uq0c1hc2ce.png
73,Frenzied Flame Village,4,A village in Liurnia gripped in the madness of Three Fingers. Its denizens know nothing but the fiery frenzy burning within them,https://eldenring.fanapis.com/images/locations/17f69b8ac92l0i2mgtov87be1r2nqe.png
74,Grand Lift Of Dectus,4,"A massive lift platform found between Liurnia and the Altus Plateau. The mechanism that operates the lift is barred by four Guardian Statues, requiring the brandishing of a special artifact for them to release their hold",https://eldenring.fanapis.com/images/locations/17f699dd1c8l0i2mgue4joyaqx4gkf.png
75,Highway Lookout Tower,4,A lone tower overlooking the Liurnia main road on the eastern landmass,https://eldenring.fanapis.com/images/locations/17f6999ba4dl0i2mh3xyke5xw6a3.png
76,Jarburg,4,"Jarburg was a peaceful village, but the effects of the Shattering affected even the otherwise amicable Living Jar",https://eldenring.fanapis.com/images/locations/17f69c4fae0l0i2mh89ctxbtq3mamf.png
77,Kingsrealm Ruins,4,"A ruined area, only seemingly bare.",https://eldenring.fanapis.com/images/locations/17f696bd5cdl0i2mhe4ogfvk5y4fnk.png
78,Lakeside Crystal Cave,4,"Hidden on the southwestern cliffs of Liurnia of the Lakes, a winding cave carved by large crystals",https://eldenring.fanapis.com/images/locations/17f69a91598l0i2mhgmal00xkh3qlq.png
79,Laskyar Ruins,4,"Ruins of a sunken structure beset by fog, found amidst the marshes of south Liurnia.",https://eldenring.fanapis.com/images/locations/17f6998e8c0l0i2mhji8anu11st2mt.png
80,Lunar Estate Ruins,4,The ruins of a large estate found atop the southwestern plateau of Liurnia.,https://eldenring.fanapis.com/images/locations/17f69755ab0l0i2mhph4nhezda1u7a.png
81,Malefactor's Evergaol,4,An evergaol overlooking the vast lakes. An ever burning flame resides within,https://eldenring.fanapis.com/images/locations/17f69dacb4bl0i2mhubpixrap5onq.png
82,Minor Erdtree (liurnia Southwest),1,,https://eldenring.fanapis.com/images/locations/17f69f56f55l0i2mhypmucze7mfrzc.png
83,Moonfolk Ruins,4,Ruins found in the southwest of the Liurnia of the Lakes region,https://eldenring.fanapis.com/images/locations/17f699944del0i2mi3slb26ih47ryg.png
84,Purified Ruins,4,The holy remains now lie in ruin,https://eldenring.fanapis.com/images/locations/17f69d966bel0i2mi4tvwhnn8vetm.png
85,Ranni's Rise,4,A tower beset by large chunks of glintstone emerging from the ground and penetrating its interiors. Home to a mysterious figure observing The Lands Between,https://eldenring.fanapis.com/images/locations/17f698099f7l0i2miaetoao4rp6xtb.png
86,Raya Lucaria Crystal Tunnel,4,One of the vast networks of tunnels used prominently for the academy's crystal mining operation.,https://eldenring.fanapis.com/images/locations/17f69c399c9l0i2mil0mh3d0ps7e7.png
87,Renna's Rise,4,"A Tower of the Three Sisters, belonging to Renna. It houses Ranni's Snow Witch Armor Set",https://eldenring.fanapis.com/images/locations/17f698a28ecl0i2mipyyaypw22zid.png
88,Revenger's Shack,4,"An isolated shack north of the Minor Erdtree. Bodies litter the ground inside the shack, possibly belonging to those one has taken revenge upon",https://eldenring.fanapis.com/images/locations/17f69bb1acal0i2mitcppzloop1zos.png
89,Ringleader's Evergaol,4,An evergaol where a nortorious assassin is incarcerated,https://eldenring.fanapis.com/images/locations/17f6960e4ffl0i2mixrjbqp5ikjrdf.png
90,Road's End Catacombs,4,Catacombs at the end of the world..,https://eldenring.fanapis.com/images/locations/17f69cc10e6l0i2mj6tb3yh7hepkwb.png
91,Rose Church,4,"The ruins of a former church aptly named Rose Church, for its walls are now festering with scarlet rot and overgrown with bloodroses.",https://eldenring.fanapis.com/images/locations/17f69993058l0i2mjc4gismv720o76.png
92,Royal Grave Evergaol,4,An evergaol constructed for the Carian Royal family in the plains east of the royal estate,https://eldenring.fanapis.com/images/locations/17f69bb8933l0i2mjfr92f3f404f5.png
93,Ruin-strewn Precipice,4,A steep precipice with abundant caves in the insides all the way through,https://eldenring.fanapis.com/images/locations/17f699ac779l0i2mjk3m8nufj4z7fe.png
94,Seluvis's Rise,4,A tower bequeathed unto Preceptor Seluvis. Serves as his personal study as he delves into the sorcerous arts.,https://eldenring.fanapis.com/images/locations/17f6973267cl0i2mjmwm9vdpxj72u.png
95,Slumbering Wolf's Shack,4,"A small shack nestled at the side of a cliff, only accessible through a long winding cave system.   A woman and her wolf companion rest here.",https://eldenring.fanapis.com/images/locations/17f69c6be62l0i2mjs3roacssjuxza.png
96,Stillwater Cave,4,"A dark and murky cave beset by a poisonous miasma. Home to servants of rot, relishing in the presence of the giant poisonblooms endemic to the cave",https://eldenring.fanapis.com/images/locations/17f69bc3adbl0i2mjzcn0qc9u6t9bk.png
97,Temple Quarter,4,"Ruined by the breaking, the Temple Quarter is now overrun with dangerous creatures, ready to attack any who come near",https://eldenring.fanapis.com/images/locations/17f69e1147dl0i2mk2ygww3qoin7ba.png
98,Testu's Rise,4,An observation tower found in the middle of a lone isle in Liurnia. The entrance is sealed by impish magic and presents a challenge to would-be visitors,https://eldenring.fanapis.com/images/locations/17f69d3b50fl0i2mk6p38tb210zrrj.png
99,The Four Belfries,4,"As its name suggests, The Four Belfries is a hill with four large bell towers overlooking Liurnia from the west. Each belfry hosts a waygate that transports travelers to various locations",https://eldenring.fanapis.com/images/locations/17f69d66ba9l0i2mkaapoatsule3ab.png
100,Village Of The Albinaurics,4,"The cursemongers have destroyed the Village of the Albinaurics, but perhaps their hope to reach the promised city is not yet lost",https://eldenring.fanapis.com/images/locations/17f696874a9l0i2mkds3uzk8ol689w.png
101,Abandoned Cave,2,Long time abandoned cave.,https://eldenring.fanapis.com/images/locations/17f69a76b08l0i2mkixrtbvunct38.png
102,Caelem Ruins,2,A set of perpetually burning ruins in western Caelid. The Caelid Highway cuts through these ruins which are heavily guarded by mobile flamethrowers and swarming with burning reanimated corpses,https://eldenring.fanapis.com/images/locations/17f69935509l0i2mkr8vjb9f4f94v.png
103,Caelid Catacombs,2,A labyrinth of Scarlet Rot-soaked floors and tunnels.,https://eldenring.fanapis.com/images/locations/17f696635c6l0i2mkuc7ifimqdqkmw.png
104,Caelid Waypoint Ruins,2,"A set of ruins found in southwest Caelid, along the highway. Long abandoned, the ruins have become home to all manner of creatures that revel in the decay and putrefaction brought on by the scarlet rot",https://eldenring.fanapis.com/images/locations/17f69759442l0i2mkz2ozy780lp1ia.png
105,Aeonia Swamp,2,"The Swamp of Aeonia is nestled in the center of the Caelid region. What were once flourishing plains filled with rich flora and fauna are now reduced to a cesspool of death and decay. A high concentration of the dreaded scarlet rot has mutated the very earth itself, twisting the creatures and plant life that once called this home.",https://eldenring.fanapis.com/images/locations/17f699bc4c7l0i2ml02kvmdi9fv2a.png
106,Cathedral Of Dragon Communion (caelid),2,"The Cathedral of Dragon Communion has long been destroyed, but those who seek to commune with draconic power may yet access its power",https://eldenring.fanapis.com/images/locations/17f69a15b4al0i2ml8g7pe7tcjmzqk.png
107,Church Of The Plague,2,"A dilapidated church found in the cliffs east of Sellia, Town of Sorcery",https://eldenring.fanapis.com/images/locations/17f69922e0fl0i2mlawpo9eps0kqe.png
108,Fort Gael,2,"A ruined fort in a ruined land,",https://eldenring.fanapis.com/images/locations/17f69dbb012l0i2mlliso8pvrpw4an.png
109,Gael Tunnel,2,"A set of tunnels found on the western edge of Caelid, along the border to Limgrave",https://eldenring.fanapis.com/images/locations/17f69b4d520l0i2mln0ngtae6zndll.png
110,Forsaken Ruins,2,The Forsaken Ruins consists of a group of broken buildings and abandoned campsites. It is located in Caelid and is gaurded by a Giant Crow,https://eldenring.fanapis.com/images/locations/17f69a84cf2l0i2mlr7qukgvew5dt.png
111,Gaol Cave,2,Found at the west of Caelid.,https://eldenring.fanapis.com/images/locations/17f69d11b53l0i2mlurz5othyaw2yn.png
112,Gowry's Shack,2,"A lone shack found below the eastern hills near Sellia, Town of Sorcery.",https://eldenring.fanapis.com/images/locations/17f6981d80cl0i2mlvehfutqz69f7c.png
113,Minor Erdtree Catacombs,2,"Minor Erdtree Catacombs is a Location in Elden Ring. The Minor Erdtree Catacombs is found in Caelid, beneath the Minor Erdtree. Players can reach this location by traveling east from where the region meets with Limgrave and then looking for the entrance behind the tree, in the north.",https://eldenring.fanapis.com/images/locations/17f69d11915l0i2mm7w192hcoirxvu.png
114,Redmane Castle,2,A small castle that is heavily guarded at the castle's outskirts by Radahn Knights and Soldiers. The Redmane Castle serves as the gathering point for warriors alike who are wanting to participate in the Radahn Festival,https://eldenring.fanapis.com/images/locations/17f69c84fbal0i2mmf3h8h45isx18a.png
115,Minor Erdtree (caelid),2,"The Minor Erdtree of Caelid, found in the northwest near the border to Limgrave.",https://eldenring.fanapis.com/images/locations/17f69654a3dl0i2mmit9ec0mmxu749.png
116,Sellia Crystal Tunnel,2,The crystal mining operation of Sellia is overseen by greedy and aggressive insectoids,https://eldenring.fanapis.com/images/locations/17f69e4cd2al0i2mmjf7o5gwy7nhbg.png
117,Sellia Evergaol,5,Outside of Sellia Evergaol,https://eldenring.fanapis.com/images/locations/17f69866cf7l0i2mmw8ziuo0llo4l8.png
118,Sellia Gateway,2,"The gateway leading to Sellia, Town of Socrcery",https://eldenring.fanapis.com/images/locations/17f69f5508fl0i2mmwfbgtc9rn3v1n.png
119,"Sellia, Town Of Sorcery",2,"A once-great town renowned for its study of the sorcerous arts. Now lying in ruin, the ghosts of its former scholars still roam the streets.",https://eldenring.fanapis.com/images/locations/17f69f1cb3fl0i2mn4dwszk6ivxz2.png
120,Smoldering Church,1,The Last Church in Limgrave before reaching Caelid,https://eldenring.fanapis.com/images/locations/17f69d93dd7l0i2mn5cuabfm8gwktg.png
121,Shack Of The Rotting,2,An old worn-down shack overlooking a long stretch of cliffs in western Caelid.,https://eldenring.fanapis.com/images/locations/17f69ae9c57l0i2mn6m3td3uzlk5s5.png
122,Street Of Sages Ruins,2,"The sages of Caelid are no more, and their former district is now the dwelling of perfumers and their poisonous flowers",https://eldenring.fanapis.com/images/locations/17f697a0d02l0i2mnesx1dup5pg1u9.png
123,War-dead Catacombs,2,Catacombs for those who have died a glorious battle death,https://eldenring.fanapis.com/images/locations/17f699e1038l0i2mnmh37d1nfbes3b.png
124,Capital Outskirts,6,"Capital Outskirts is a Location in Elden Ring. The Capital Outskirts sub-region lies in the Eastern area of the Altus Plateau and is the region just outside Leyndell, Royal Capital but still within the capital's outer walls. Beware of Skeletons rising from their graves and rocks flying out of the capital toward the battlegrounds when exploring the area.",https://eldenring.fanapis.com/images/locations/17f69625085l0i2mnshaufkjhe4gok.png
125,Altus Tunnel,6,The Altus tunnels were once used to supply the lands with quality crystals,https://eldenring.fanapis.com/images/locations/17f6993b974l0i2mnzpvp1ultcqrm.png
126,"Dominula, Windmill Village",6,"Dominula, Windmill Village is a Location in Elden Ring. The Dominula, Windmill Village  is found in Altus Plateau. East of the ""Road of iniquity Side Path""sight of grace. Follow the main path southeast then bend east.",https://eldenring.fanapis.com/images/locations/17f697ef5f2l0i2mo0qi9n0ri0imyd.png
127,East Windmill Pasture,6,"East Pasture Outskirsts of Windmill Village. True to its name, it can be identified by the still-working windmill placed in the center of the pasture.",https://eldenring.fanapis.com/images/locations/17f69bbcfcal0i2mo7s8f4xhwr53ms.png
128,Golden Lineage Evergaol,6,An evergaol located on within the Altus Plateau.,https://eldenring.fanapis.com/images/locations/17f698e4311l0i2mo8fibxu670d50f.png
129,Hermit Merchant's Shack,6,"Nestled on a cliff within the confines of the Royal Capital, this shack is home to a humble merchant, who has chosen a life of seclusion",https://eldenring.fanapis.com/images/locations/17f696d8354l0i2mogg6n9e7genjdc.png
130,Altus Tunnel,6,The Altus tunnels were once used to supply the lands with quality crystals,https://eldenring.fanapis.com/images/locations/17f697f9642l0i2molzde5v6dex4io.png
131,"Leyndell, Royal Capital",6,"Leyndell, Royal Capital is a Location in Elden Ring. The Leyndell, Royal Capital region is only accessible to players who have gathered two Great Runes or by following Ranni the Witch quest line and defeating Fia's Champions near the Great Waterfall Crest Site of Grace in the Deeproot Depths, and has content for highly leveled gameplay. For a detailed walkthrough, please visit the walkthrough page for Leyndell, Royal Capital Legacy Dungeon here.",https://eldenring.fanapis.com/images/locations/17f69a8e034l0i2moqhosmm855zzp.png
132,Lux Ruins,6,"Long forgotten ruins among golden trees, swarmed with demi-humans protecting the undergound chamber.",
133,Old Altus Tunnel,6,"An old mining site, still active to this day. Its tunnels echo with the grunts and groans of the commoners, tirelessly slaving away, grinding at the rich reservoir of crystals deep within",https://eldenring.fanapis.com/images/locations/17f697666c6l0i2mozt3d41gvlk4j8.png
134,Minor Erdtree Church,6,What's left of the Church of the Minor Erdtree,https://eldenring.fanapis.com/images/locations/17f698ef5fbl0i2mp1l1tslwuty9kl.png
135,Sealed Tunnel,6,Not as small or abandoned as it looks.,https://eldenring.fanapis.com/images/locations/17f698984e2l0i2mpau822kzbjamiq.png
